iter	Passed	Remaining
820	4658	1015
821	4663	1009
822	4668	1004
823	4673	998
824	4679	992
825	4685	986
826	4691	981
827	4696	975
828	4702	969
829	4707	964
830	4712	958
831	4717	952
832	4723	946
833	4728	941
834	4734	935
835	4739	929
836	4747	924
837	4753	918
838	4760	913
839	4765	907
840	4772	902
841	4777	896
842	4783	890
843	4789	885
844	4794	879
845	4800	873
846	4806	868
847	4811	862
848	4817	856
849	4822	851
850	4828	845
851	4833	839
852	4838	833
853	4845	828
854	4850	822
855	4856	816
856	4862	811
857	4867	805
858	4872	799
859	4878	794
860	4884	788
861	4889	782
862	4895	777
863	4900	771
864	4906	765
865	4912	760
866	4917	754
867	4923	748
868	4929	743
869	4934	737
870	4940	731
871	4946	726
872	4951	720
873	4957	714
874	4963	709
875	4969	703
876	4976	697
877	4982	692
878	4988	686
879	4993	680
880	5000	675
881	5006	669
882	5011	664
883	5016	658
884	5022	652
885	5028	646
886	5034	641
887	5039	635
888	5045	629
889	5051	624
890	5056	618
891	5061	612
892	5067	607
893	5072	601
894	5078	595
895	5084	590
896	5089	584
897	5094	578
898	5100	573
899	5105	567
900	5111	561
901	5117	555
902	5122	550
903	5128	544
904	5133	538
905	5140	533
906	5145	527
907	5151	521
908	5156	516
909	5162	510
910	5169	505
911	5175	499
912	5181	493
913	5187	488
914	5192	482
915	5197	476
916	5203	470
917	5208	465
918	5214	459
919	5219	453
920	5224	448
921	5229	442
922	5234	436
923	5240	431
924	5245	425
925	5251	419
926	5257	413
927	5261	408
928	5267	402
929	5272	396
930	5277	391
931	5282	385
932	5287	379
933	5292	373
934	5297	368
935	5303	362
936	5308	356
937	5313	351
938	5318	345
939	5323	339
940	5328	334
941	5334	328
942	5341	322
943	5347	317
944	5353	311
945	5360	305
946	5365	300
947	5370	294
948	5374	288
949	5379	283
950	5385	277
951	5390	271
952	5396	266
953	5401	260
954	5406	254
955	5412	249
956	5417	243
957	5422	237
958	5427	232
959	5433	226
960	5438	220
961	5444	215
962	5449	209
963	5454	203
964	5460	198
965	5466	192
966	5471	186
967	5476	181
968	5481	175
969	5486	169
970	5492	164
971	5498	158
972	5503	152
973	5508	147
974	5513	141
975	5519	135
976	5525	130
977	5531	124
978	5537	118
979	5543	113
980	5551	107
981	5557	101
982	5562	96
983	5568	90
984	5573	84
985	5579	79
986	5584	73
987	5589	67
988	5594	62
989	5599	56
990	5605	50
991	5611	45
992	5616	39
993	5621	33
994	5626	28
995	5632	22
996	5637	16
997	5643	11
998	5648	5
999	5653	0
